Sort,Box id,Box name,Jobs inside,Job id,Name,Type,Box_name,Command,Machine,Owner,Permission,Date_condition,Days_of_week,Start_times,Condition,Description,Std_out_file,Std_err_file,Alarm_if_fail
1004,1187,DWD_WEEKLY_OSA,"",1195,DWD_TEAM_WEEKLY_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_team_weekly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_WEEKLY_SALES),DWD_TEAM_WEEKLY_SALES,"","",1
1005,1187,DWD_WEEKLY_OSA,"",1196,DWD_TEAM_WEEKLY_SEG_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_team_weekly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_TEAM_WEEKLY_SALES),DWD_TEAM_WEEKLY_SEG_SALES,"","",1
1006,1187,DWD_WEEKLY_OSA,"",1197,DWD_REGION_WEEKLY_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_region_weekly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_WEEKLY_SALES),DWD_REGION_WEEKLY_SALES,"","",1
1007,1187,DWD_WEEKLY_OSA,"",1198,DWD_REGION_WEEKLY_SEG_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_region_weeklyseg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_REGION_WEEKLY_SALES),DWD_REGION_WEEKLY_SEG_SALES,"","",1
1008,1187,DWD_WEEKLY_OSA,"",1199,DWD_COFRTOTAL_WEEKLY_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_cofrtotal_weekly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_REGION_WEEKLY_SALES),DWD_COFRTOTAL_WEEKLY_SALES,"","",1
1009,1187,DWD_WEEKLY_OSA,"",1200,DWD_COFRT_WEEKLY_SEG_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_cofrt_weekly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_COFRTOTAL_WEEKLY_SALES),DWD_COFRT_WEEKLY_SEG_SALES,"","",1
1010,1187,DWD_WEEKLY_OSA,"",1201,DWD_DIVISION_WEEKLY_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_division_weekly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_REGION_WEEKLY_SALES),DWD_DIVISION_WEEKLY_SALES,"","",1
1011,1187,DWD_WEEKLY_OSA,"",1202,DWD_DIVISION_WEEKLY_SEG_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_div_weekly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_DIVISION_WEEKLY_SALES),DWD_DIVISION_WEEKLY_SEG_SALES,"","",1
1012,1187,DWD_WEEKLY_OSA,"",1203,DWD_AREA_WEEKLY_SEG_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_area_weekly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_WEEKLY_SALES),DWD_AREA_WEEKLY_SEG_SALES,"","",1
1013,1187,DWD_WEEKLY_OSA,"",1204,DWD_ADI_WEEKLY_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_adi_weekly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_WEEKLY_SALES),DWD_ADI_WEEKLY_SALES,"","",1
1014,1187,DWD_WEEKLY_OSA,"",1205,DWD_ADI_WEEKLY_SEG_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_adi_weekly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_ADI_WEEKLY_SALES),DWD_ADI_WEEKLY_SEG_SALES,"","",1
1015,1187,DWD_WEEKLY_OSA,"",1206,DWD_WEEKLY_SEGMENT_SALES,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_weekly_segment_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_WEEKLY_SALES),DWD_WEEKLY_SEGMENT_SALES,"","",1
1016,1187,DWD_WEEKLY_OSA,"",1207,DWD_UPD_OSA_DATE_FILTER,c,DWD_WEEKLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execsql.sh warehouse1 ewp proj_wh_sales1/upd_osa_date_filter_6m.sql,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_DCODFO_WEEKLY_SEG_SALES) & s(DWD_MARKET_WEEKLY_SEG_SALES) & s(DWD_TEAM_WEEKLY_SEG_SALES) & s(DWD_REGION_WEEKLY_SEG_SALES) & s(DWD_COFRT_WEEKLY_SEG_SALES) & s(DWD_DIVISION_WEEKLY_SEG_SALES) & s(DWD_AREA_WEEKLY_SEG_SALES) & s(DWD_ADI_WEEKLY_SEG_SALES) & s(DWD_WEEKLY_SEGMENT_SALES),DWD_UPD_OSA_DATE_FILTER,"","",1
1017,1208,DWD_MONTHLY_OSA,21,1208,DWD_MONTHLY_OSA,b,"","",prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,"08:30,21:30","",DWD_MONTHLY_OSA,"","",0
1018,1208,DWD_MONTHLY_OSA,"",1209,DWD_MONTHLY_RESTAURANT_ALLMI,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_monthly_rest_allmi_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",DWD_MONTHLY_RESTAURANT_ALLMI,"","",1
1019,1208,DWD_MONTHLY_OSA,"",1210,DWD_LOWEST_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_lowest_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_MONTHLY_RESTAURANT_ALLMI),DWD_LOWEST_MONTHLY_SALES,"","",1
1020,1208,DWD_MONTHLY_OSA,"",1211,DWD_AREA_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_area_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_MONTHLY_SALES),DWD_AREA_MONTHLY_SALES,"","",1
1021,1208,DWD_MONTHLY_OSA,"",1212,DWD_MARKET_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_market_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_MONTHLY_SALES),DWD_MARKET_MONTHLY_SALES,"","",1
1022,1208,DWD_MONTHLY_OSA,"",1213,DWD_DCODFO_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_dcodfo_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_MARKET_MONTHLY_SALES),DWD_DCODFO_MONTHLY_SALES,"","",1
1023,1208,DWD_MONTHLY_OSA,"",1214,DWD_DCODFO_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_dcodfomonthlyseg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_DCODFO_MONTHLY_SALES),DWD_DCODFO_MONTHLY_SEG_SALES,"","",1
1024,1208,DWD_MONTHLY_OSA,"",1215,DWD_MARKET_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_markt_monthlyseg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_MARKET_MONTHLY_SALES),DWD_MARKET_MONTHLY_SEG_SALES,"","",1
1025,1208,DWD_MONTHLY_OSA,"",1216,DWD_TEAM_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_team_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_MONTHLY_SALES),DWD_TEAM_MONTHLY_SALES,"","",1
1026,1208,DWD_MONTHLY_OSA,"",1217,DWD_TEAM_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_team_monthly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_TEAM_MONTHLY_SALES),DWD_TEAM_MONTHLY_SEG_SALES,"","",1
1027,1208,DWD_MONTHLY_OSA,"",1218,DWD_REGION_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_region_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_MONTHLY_SALES),DWD_REGION_MONTHLY_SALES,"","",1
1028,1208,DWD_MONTHLY_OSA,"",1219,DWD_REGION_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_regionmonthlyseg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_REGION_MONTHLY_SALES),DWD_REGION_MONTHLY_SEG_SALES,"","",1
1029,1208,DWD_MONTHLY_OSA,"",1220,DWD_COFRTOTAL_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_cofrtot_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_REGION_MONTHLY_SALES),DWD_COFRTOTAL_MONTHLY_SALES,"","",1
1030,1208,DWD_MONTHLY_OSA,"",1221,DWD_COFRT_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_cofrmonthlyseg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_COFRTOTAL_MONTHLY_SALES),DWD_COFRT_MONTHLY_SEG_SALES,"","",1
1031,1208,DWD_MONTHLY_OSA,"",1222,DWD_DIVISION_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_division_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_REGION_MONTHLY_SALES),DWD_DIVISION_MONTHLY_SALES,"","",1
1032,1208,DWD_MONTHLY_OSA,"",1223,DWD_DIVISION_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_div_monthly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_DIVISION_MONTHLY_SALES),DWD_DIVISION_MONTHLY_SEG_SALES,"","",1
1033,1208,DWD_MONTHLY_OSA,"",1224,DWD_AREA_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_area_monthly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_AREA_MONTHLY_SALES),DWD_AREA_MONTHLY_SEG_SALES,"","",1
1034,1208,DWD_MONTHLY_OSA,"",1225,DWD_ADI_MONTHLY_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_adi_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_MONTHLY_SALES),DWD_ADI_MONTHLY_SALES,"","",1
1035,1208,DWD_MONTHLY_OSA,"",1226,DWD_ADI_MONTHLY_SEG_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_adi_monthly_seg_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_ADI_MONTHLY_SALES),DWD_ADI_MONTHLY_SEG_SALES,"","",1
1036,1208,DWD_MONTHLY_OSA,"",1227,DWD_MONTHLY_SEGMENT_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_monthly_segment_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_MONTHLY_SALES),DWD_MONTHLY_SEGMENT_SALES,"","",1
1037,1208,DWD_MONTHLY_OSA,"",1228,DWD_MONTHLY_FRAN_GROUP_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_frangrp_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_MONTHLY_SALES),DWD_MONTHLY_FRAN_GROUP_SALES,"","",1
1038,1208,DWD_MONTHLY_OSA,"",1229,DWD_MONTHLY_FRAN_OP_SALES,c,DWD_MONTHLY_OSA,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_osa_franop_monthly_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWD_LOWEST_MONTHLY_SALES),DWD_MONTHLY_FRAN_OPERATOR_SALES,"","",1
1039,1230,DWMOSA_ALIGNMENT,3,1230,DWMOSA_ALIGNMENT,b,"","",prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,19:45,"",DWMOSA_ALIGNMENT,"","",0
1040,1230,DWMOSA_ALIGNMENT,"",1231,DMM_REST_WRKR_ALGN,c,DWMOSA_ALIGNMENT,/informatica/dw/infa/infa_shared/scripts/common/start_inf_session.sh bkpbtch inpconn s_M_dm_mnthly_rest_worker_algn_dim 1 1,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DWMREST_ALIGN_BAS),DMM_REST_WRKR_ALGN - Populates the REST_WORKER_ALGN_DIM_MONTHLY table in OperationsMart1,"","",1
1041,1230,DWMOSA_ALIGNMENT,"",1232,DWMREST_ALIGN_BAS,c,DWMOSA_ALIGNMENT,/informatica/dw/infa/infa_shared/scripts/common/start_inf_session.sh bkpbtch inpconn s_m_dw_rest_alignment_bas 1 1,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",DWDREST_ALIGN_BAS,"","",1
1042,1230,DWMOSA_ALIGNMENT,"",1233,DWMOSA_ALIGN,c,DWMOSA_ALIGNMENT,/informatica/dw/infa/infa_shared/scripts/common/execsql.sh warehouse ewp proj_wh_sales1/osa_alignment.sql,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMM_REST_WRKR_ALGN),DWMOSA_ALIGN_,"","",1
1043,1239,FKMAC601877095,4,1239,FKMAC601877095,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FKMAC601877095,"","",0
1044,1239,FKMAC601877095,"",1240,FKMI004,c,FKMAC601877095,auto_r3v45 -C BKAUTOSYS audit 3 job FKMI004,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FKMI004,"","",1
1045,1239,FKMAC601877095,"",1241,FKMR010,c,FKMAC601877095,auto_r3v45 -C BKAUTOSYS audit 3 job FKMR010,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FKMU005),FKMR010,"","",1
1046,1239,FKMAC601877095,"",1242,FKMR011,c,FKMAC601877095,auto_r3v45 -C BKAUTOSYS audit 3 job FKMR011,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FKMU005),FKMR011,"","",1
1047,1239,FKMAC601877095,"",1243,FKMU005,c,FKMAC601877095,auto_r3v45 -C BKAUTOSYS audit 3 job FKMU005,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FKMI004),FKMU005,"","",1
1048,1244,PNB_PNBSTART_PNBPRERPT2,3,1244,PNB_PNBSTART_PNBPRERPT2,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",PNB_PNBMATCHW_PNBPRERPT2,"","",0
1049,1244,PNB_PNBSTART_PNBPRERPT2,"",1245,PNBPRERPT2,c,PNB_PNBSTART_PNBPRERPT2,auto_r3v45 -C BKAUTOSYS audit 3 job PNBPRERPT2,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(PNBSTART),PNBPRERPT2,"","",1
1050,1244,PNB_PNBSTART_PNBPRERPT2,"",1246,PNBSTART,c,PNB_PNBSTART_PNBPRERPT2,auto_r3v45 -C BKAUTOSYS audit 3 job PNBSTART,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(PNBRPTIME),PNBSTART,"","",1
1051,1244,PNB_PNBSTART_PNBPRERPT2,"",1247,PNBRPTIME,c,PNB_PNBSTART_PNBPRERPT2,auto_r3v45 -C BKAUTOSYS audit 3 job PNBRPTIME,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",PNBRPTIME,"","",1
1052,1249,FSM1NITECN,2,1249,FSM1NITECN,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",02:00,"",FSM1NITECN,"","",0
1053,1249,FSM1NITECN,"",1250,FSMUARCN,c,FSM1NITECN,auto_r3v45 -C BKAUTOSYS audit 3 job FSMUARCN,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FSMUARCN,"","",1
1054,1249,FSM1NITECN,"",1251,FSMURCN,c,FSM1NITECN,auto_r3v45 -C BKAUTOSYS audit 3 job FSMURCN,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FSMURCN,"","",1
1055,1252,AMMCNA1,7,1252,AMMCNA1,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",05:00,"",AMMCNA1,"","",0
1056,1252,AMMCNA1,"",1253,AMMU41,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMU41,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",AMMU41,"","",1
1057,1252,AMMCNA1,"",1254,AMMU42,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMU42,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(AMMU41),AMMU42,"","",1
1058,1252,AMMCNA1,"",1255,AMMR41,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMR41,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(AMMU41),AMMR41,"","",1
1059,1252,AMMCNA1,"",1256,AMMR42,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMR42,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(AMMU41),AMMR42,"","",1
1060,1252,AMMCNA1,"",1257,AMMR43,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMR43,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(AMMU41),AMMR43,"","",1
1061,1252,AMMCNA1,"",1258,AMMR44,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMR44,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(AMMU41),AMMR44,"","",1
1062,1252,AMMCNA1,"",1259,AMMR45,c,AMMCNA1,auto_r3v45 -C BKAUTOSYS audit 3 job AMMR45,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(AMMU41),AMMR45,"","",1
1063,1261,DWR_OFA_JV,2,1261,DWR_OFA_JV,b,"","",ptcosa01,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",Schedule contains two jobs that run perl scripts to replace the Company code for JV rests from US10 to US32,"","",0
1064,1261,DWR_OFA_JV,"",1262,DWR_KCBDREST,c,DWR_OFA_JV,E\:\OFA\kcbdrest.bat,ptcosa01,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",DWR_KCBDREST,"","",1
1065,1261,DWR_OFA_JV,"",1263,DWR_IW_FEED,c,DWR_OFA_JV,E\:\OFA\iw_feed.bat,ptcosa01,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",DWR_IW_FEED,"","",1
1066,1264,DWDRSI_EXTRACTS,1,1264,DWDRSI_EXTRACTS,b,"","",prdetl01,bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,06:00,s(DWDSALES),Generates and FTPs extract files for RSI,"","",0
1067,1264,DWDRSI_EXTRACTS,"",1265,DWDRSI_DAILY_SALES,c,DWDRSI_EXTRACTS,$PMScripts/common/execsql.sh warehouse1 ewp rsi_extracts/rsi_extracts.sql,prdetl01,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",DWDRSI_DAILY_SALES,"","",1
1068,1266,SMDE_STETON,2,1266,SMDE_STETON,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"mo,tu,we,th,fr",23:00,"",SMDE_STETON,"","",0
1069,1266,SMDE_STETON,"",1267,SMDE_STETON_EXTRACT,c,SMDE_STETON,\\PTCAPP11\SMbin\Steton\smesteton.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",SMDE_STETON_EXTRACT,"","",1
1070,1266,SMDE_STETON,"",1268,SMDE_STETON_FTP,c,SMDE_STETON,e\:\bkftp\AriesFTP.bat mput ptcftp01 bkpsched ROCKYRD9 /users/bkcstet/outbound/ \\ptcapp11\Interface\smarts\outbound\Steton\*.dat steton,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(SMDE_STETON_EXTRACT),SMDE_STETON_FTP,"","",1
1071,1269,FBWLOADCOST,1,1269,FBWLOADCOST,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,fr,06:30,"",FBWLOADCOST,"","",0
1072,1269,FBWLOADCOST,"",1270,FBWCPUSRCOST,c,FBWLOADCOST,\\ptcapp11\fcb\bin\fbwcpusrcost.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FBWCPSTDUS,"","",1
1073,1271,DMDMISMDP,9,1271,DMDMISMDP,b,"","","prdetl00, ptcapp11",bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,02:15,s(DWDSALES) & s(DWDMISMDP),DMDMISMDP,"","",0
1074,1271,DMDMISMDP,"",1272,DMD_DAILY_MI_PREP,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_mart_daily_mi_prep,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_REST_MENU_ITEM_DRV),DMD_DAILY_MI_PREP,"","",1
1075,1271,DMDMISMDP,"",1273,DMD_DAILY_MI_SALES,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_mart_daily_mi_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_DAILY_MI_PREP),DMD_DAILY_MI_SALES,"","",1
1076,1271,DMDMISMDP,"",1274,DMD_MONTHLY_MI_PREP,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_mart_monthly_mi_prep,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_REST_MENU_ITEM_DRV) & s(DMD_WEEKLY_MI_PREP),DMD_MONTHLY_MI_PREP,"","",1
1077,1271,DMDMISMDP,"",1275,DMD_MONTHLY_MI_SALES,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_mart_monthly_mi_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_MONTHLY_MI_PREP) & s(DMD_WEEKLY_MI_SALES),DMD_MONTHLY_MI_SALES,"","",1
1078,1271,DMDMISMDP,"",1276,DMD_REST_MENU_ITEM_DRV,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/proj_wh_sales1/refresh_view.sh warehouse1 ewp salesmart1.vw_daily_restaurants_polled,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",DMD_REST_MENU_ITEM_DRV,"","",1
1079,1271,DMDMISMDP,"",1277,DMD_WEEKLY_MI_PREP,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_mart_weekly_mi_prep,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_REST_MENU_ITEM_DRV) & s(DMD_DAILY_MI_PREP),DMD_WEEKLY_MI_PREP,"","",1
1080,1271,DMDMISMDP,"",1278,DMD_WEEKLY_MI_SALES,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/common/execproc.sh warehouse1 ewp usp_mart_weekly_mi_sales,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_WEEKLY_MI_PREP) & s(DMD_DAILY_MI_SALES),DMD_WEEKLY_MI_SALES,"","",1
1081,1271,DMDMISMDP,"",1279,DMD_DAILY_MI_TRIGGER,c,DMDMISMDP,\\ptcapp11\e$\Warehouse\BO\rest_mi_count_release.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_DAILY_MI_SALES) & s(DMD_DAILY_REST_POLLED),SLDBO_DAILY_TRIGGER,"","",1
1082,1271,DMDMISMDP,"",1280,DMD_DAILY_REST_POLLED,c,DMDMISMDP,/informatica/dw/infa/infa_shared/scripts/proj_wh_sales1/refresh_view.sh salesmart1 ewp vw_daily_restaurants_polled,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(DMD_MONTHLY_MI_SALES),DMD_DAILY_REST_POLLED,"","",1
1083,1283,SLRBO_CANADA_EMAIL,1,1283,SLRBO_CANADA_EMAIL,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",SLRBO_CANADA_EMAIL,"","",0
